NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	76.324	63.926	11.65	48.906	6.567	0.79	60000.0
2	77.238	64.246	11.995	49.617	10.638	0.787	30000.0
3	76.305	64.19	11.647	48.955	4.583	0.789	100000.0
4	76.669	64.29	11.694	49.089	16.677	0.788	70000.0
5	76.377	63.983	11.725	49.044	4.578	0.79	40000.0
6	77.118	64.3	12.001	49.638	12.653	0.785	30000.0
7	76.405	64.177	11.651	49.205	24.855	0.787	40000.0
8	76.406	64.318	11.692	49.252	8.657	0.788	50000.0
9	76.522	64.123	11.682	48.973	10.616	0.789	40000.0
10	76.478	64.294	11.704	49.173	2.547	0.789	90000.0
11	77.182	64.471	11.968	49.685	16.672	0.785	60000.0
12	75.974	63.84	11.604	48.81	4.64	0.79	90000.0
13	76.271	63.828	11.746	49.109	4.561	0.789	40000.0
14	76.087	64.061	11.627	48.984	30.858	0.79	40000.0
15	76.485	63.997	11.659	49.12	16.677	0.788	40000.0
16	77.243	64.378	11.996	49.583	12.637	0.786	40000.0
17	76.338	64.271	11.698	49.2	8.602	0.788	40000.0
18	76.352	64.161	11.685	49.279	14.85	0.788	50000.0
19	76.461	64.018	11.699	49.035	12.71	0.788	60000.0
20	76.301	64.126	11.701	49.098	18.721	0.787	50000.0
21	77.595	64.642	12.033	49.614	24.752	0.785	70000.0
22	77.16	64.388	11.986	49.793	16.674	0.783	30000.0
23	76.296	64.006	11.636	49.084	4.551	0.789	70000.0
24	76.43	64.128	11.781	49.211	14.643	0.788	70000.0
25	76.323	64.001	11.694	49.109	14.754	0.789	40000.0
26	77.085	64.474	11.964	49.609	24.832	0.784	50000.0
27	76.196	63.986	11.583	48.862	18.695	0.788	40000.0
28	76.173	64.172	11.636	49.054	6.574	0.789	30000.0
29	76.391	64.122	11.698	49.296	20.719	0.786	30000.0
30	77.18	64.434	11.981	49.643	16.697	0.784	30000.0
31	76.328	64.062	11.619	48.925	20.734	0.789	40000.0
32	76.141	63.903	11.666	48.88	2.539	0.79	30000.0
33	76.382	64.071	11.632	49.007	12.675	0.788	40000.0
34	77.143	64.236	12.013	49.534	16.674	0.785	80000.0
35	76.075	63.997	11.68	49.107	6.657	0.789	40000.0
36	76.631	64.283	11.851	49.364	22.74	0.786	80000.0
37	76.412	64.178	11.675	49.166	28.813	0.787	40000.0
38	76.157	63.956	11.66	49.151	10.606	0.788	30000.0
39	76.075	64.068	11.635	49.015	26.778	0.79	60000.0
40	76.527	64.101	11.686	49.163	10.72	0.787	40000.0
41	77.269	64.454	11.979	49.586	28.809	0.786	50000.0
42	76.609	64.29	11.75	49.328	4.648	0.787	30000.0
43	77.332	64.58	12.047	49.89	18.781	0.781	30000.0
44	77.377	64.683	12.002	49.662	16.663	0.785	60000.0
45	76.933	64.443	11.906	49.532	20.73	0.785	50000.0
46	76.372	64.039	11.692	49.02	12.66	0.789	70000.0
47	76.519	64.053	11.676	49.021	12.7	0.789	60000.0
48	77.343	64.35	12.025	49.655	16.693	0.786	70000.0
49	77.112	64.518	11.809	49.289	14.668	0.787	60000.0
50	76.081	63.801	11.631	49.022	10.602	0.789	80000.0
51	76.356	63.953	11.686	49.086	8.681	0.789	30000.0
52	76.637	64.388	11.683	49.109	10.625	0.788	40000.0
53	77.32	64.591	11.99	49.754	18.716	0.783	30000.0
54	76.645	64.243	11.748	49.388	4.568	0.788	50000.0
55	77.032	64.112	11.975	49.358	20.712	0.79	40000.0
56	76.536	64.233	11.656	48.996	10.603	0.789	50000.0
57	76.305	64.014	11.601	48.909	12.724	0.789	30000.0
58	77.244	64.428	11.961	49.532	4.629	0.787	70000.0
59	76.901	64.204	11.95	49.553	18.712	0.786	50000.0
60	76.687	64.233	11.779	49.309	16.699	0.788	40000.0
61	77.629	64.49	12.01	49.605	10.635	0.786	40000.0
62	76.155	63.896	11.673	49.028	18.678	0.789	30000.0
63	76.182	64.074	11.704	49.229	16.676	0.788	70000.0
64	76.171	63.982	11.687	49.237	4.537	0.788	60000.0
65	77.066	64.416	11.96	49.588	18.724	0.784	40000.0
66	77.162	64.397	11.949	49.518	16.666	0.786	60000.0
