NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	75.797	63.332	11.624	48.84	16.692	0.791	60000.0
2	76.714	63.734	12.0	49.738	22.773	0.788	50000.0
3	75.196	62.997	11.582	48.642	20.75	0.792	30000.0
4	76.68	63.781	11.978	49.535	16.664	0.785	50000.0
5	76.014	63.55	11.76	49.315	16.725	0.79	50000.0
6	75.455	63.173	11.645	48.92	16.706	0.791	40000.0
7	76.002	63.625	11.654	49.324	16.683	0.791	40000.0
8	75.793	63.727	11.694	49.385	4.606	0.79	60000.0
9	76.078	63.734	11.683	49.129	12.719	0.789	40000.0
10	76.213	63.776	11.702	49.261	10.653	0.788	50000.0
11	75.839	63.503	11.647	49.241	6.723	0.791	40000.0
12	75.533	63.175	11.603	48.841	14.683	0.791	70000.0
13	75.565	63.213	11.699	49.092	22.825	0.79	60000.0
14	76.839	64.079	11.966	49.708	14.724	0.788	80000.0
15	76.299	63.859	11.731	49.389	12.695	0.789	60000.0
16	76.511	63.662	11.978	49.719	22.747	0.787	80000.0
17	75.619	63.559	11.575	49.044	8.722	0.79	50000.0
18	76.114	63.683	11.722	49.438	10.767	0.789	40000.0
19	75.809	63.361	11.686	49.183	18.726	0.79	70000.0
20	75.719	63.733	11.662	49.102	24.81	0.791	50000.0
21	76.207	63.704	11.645	49.193	26.791	0.789	40000.0
22	75.664	63.36	11.629	49.096	16.71	0.791	40000.0
23	75.994	63.532	11.672	49.152	14.67	0.79	70000.0
24	75.897	63.303	11.766	49.11	6.632	0.79	110000.0
25	75.843	63.393	11.66	49.186	22.785	0.79	50000.0
26	75.359	63.29	11.605	48.907	14.661	0.791	60000.0
27	75.197	63.251	11.507	48.608	16.698	0.792	90000.0
28	75.444	63.292	11.597	48.855	12.702	0.79	60000.0
29	76.392	63.647	11.949	49.552	10.65	0.786	50000.0
30	76.143	63.685	11.611	49.016	26.83	0.791	80000.0
31	75.593	63.361	11.595	48.839	18.696	0.79	50000.0
32	75.508	63.222	11.654	48.936	20.758	0.79	80000.0
33	75.808	63.608	11.609	48.901	20.754	0.791	60000.0
34	75.887	63.389	11.716	49.148	14.799	0.791	40000.0
35	75.667	63.365	11.678	49.106	6.578	0.79	30000.0
36	76.432	63.968	11.941	49.604	16.741	0.786	90000.0
37	76.572	63.852	11.943	49.525	24.77	0.787	60000.0
38	75.946	63.518	11.692	49.225	14.689	0.789	40000.0
39	75.583	63.523	11.63	49.057	16.716	0.792	40000.0
40	75.751	63.525	11.662	49.171	26.939	0.788	60000.0
41	75.929	63.467	11.698	49.216	18.757	0.791	60000.0
42	75.913	63.541	11.667	49.211	14.684	0.788	60000.0
43	76.151	63.841	11.706	49.27	16.802	0.787	70000.0
44	75.564	63.713	11.539	49.061	24.812	0.791	40000.0
45	75.6	63.485	11.643	49.135	12.71	0.789	50000.0
46	75.725	63.501	11.681	49.213	20.752	0.789	40000.0
47	75.937	63.335	11.681	49.123	18.722	0.789	60000.0
48	75.781	63.033	11.685	48.831	14.683	0.794	90000.0
49	76.15	63.734	11.67	49.155	16.692	0.791	60000.0
50	75.933	63.329	11.671	49.135	12.641	0.79	160000.0
51	75.587	63.21	11.62	48.899	18.831	0.791	50000.0
52	75.581	63.527	11.6	48.81	8.581	0.792	40000.0
53	75.965	63.865	11.626	49.193	2.536	0.79	90000.0
54	75.82	63.513	11.699	49.157	14.693	0.791	80000.0
55	75.811	63.402	11.637	49.136	16.756	0.794	70000.0
56	76.129	63.653	11.632	49.063	12.657	0.791	40000.0
57	75.816	63.381	11.627	48.91	16.723	0.791	70000.0
58	76.21	63.676	11.686	49.255	14.834	0.792	90000.0
59	75.74	63.472	11.614	49.115	16.732	0.791	80000.0
60	75.687	63.339	11.67	49.005	22.779	0.791	40000.0
61	77.031	63.896	11.976	49.494	22.738	0.789	60000.0
62	75.627	63.412	11.595	48.924	20.749	0.791	80000.0
63	75.564	63.356	11.66	49.113	18.702	0.79	70000.0
64	75.45	63.296	11.675	49.097	10.744	0.79	40000.0
65	75.626	63.382	11.645	48.949	6.579	0.79	50000.0
66	75.801	63.274	11.679	48.899	14.786	0.791	50000.0
67	76.521	63.462	11.992	49.644	28.838	0.788	50000.0
68	75.634	63.199	11.63	48.85	12.844	0.792	40000.0
69	75.755	63.607	11.687	49.265	22.781	0.79	40000.0
70	75.93	63.783	11.667	49.153	6.59	0.787	70000.0
71	75.582	63.455	11.579	48.86	22.889	0.792	90000.0
72	75.538	63.441	11.621	49.223	20.762	0.79	60000.0
73	75.869	63.252	11.668	49.059	18.773	0.79	60000.0
74	75.448	63.35	11.606	48.977	8.602	0.788	60000.0
75	75.57	63.234	11.611	48.998	26.824	0.789	100000.0
76	75.574	63.352	11.625	49.074	18.749	0.791	60000.0
77	76.189	63.949	11.718	49.627	6.609	0.788	50000.0
78	76.418	63.644	11.987	49.61	24.799	0.786	50000.0
79	75.897	63.291	11.681	49.085	20.735	0.79	40000.0
80	75.645	63.209	11.613	48.817	4.575	0.793	50000.0
81	75.787	63.185	11.611	48.86	16.694	0.792	50000.0
82	75.587	63.488	11.608	49.054	12.696	0.79	70000.0
83	75.982	63.551	11.703	49.178	16.813	0.79	50000.0
84	75.788	63.287	11.69	48.997	14.73	0.79	80000.0
85	75.94	63.439	11.737	49.262	12.69	0.789	50000.0
86	75.526	63.082	11.632	48.894	20.798	0.79	30000.0
87	75.574	63.267	11.601	48.862	18.769	0.791	70000.0
88	76.002	63.595	11.685	49.09	20.74	0.791	70000.0
89	75.557	63.244	11.618	48.872	6.585	0.791	70000.0
90	75.877	63.779	11.643	49.143	10.678	0.788	80000.0
91	75.605	63.272	11.669	49.386	10.626	0.79	50000.0
92	76.027	63.491	11.722	49.032	18.728	0.791	60000.0
93	75.651	63.291	11.601	48.785	10.645	0.792	50000.0
94	75.147	63.126	11.549	48.683	8.593	0.793	60000.0
95	75.87	63.739	11.688	49.249	12.718	0.788	60000.0
96	75.583	63.504	11.546	48.819	6.584	0.791	50000.0
97	75.861	63.541	11.626	49.04	10.669	0.791	50000.0
98	76.294	63.635	11.759	49.112	22.78	0.79	60000.0
99	75.605	63.327	11.61	49.005	20.866	0.791	60000.0
100	75.739	63.494	11.662	49.144	10.616	0.789	50000.0
