feature	coef	exp(coef)	zscore	p	lower 95%	upper 95%	q
DNAH5	0.455431095306018	1.5768530104624594	2.3882397637604478	0.01692929317447632	1.0850988342440497	2.291464462162798	0.22008081126819215
TP53	0.29481287096844033	1.3428750442663588	2.027427980307001	0.0426186628520548	1.0098583683254643	1.785709205443937	0.2770213085383562
NOTCH1	0.24644326878452744	1.2794665954635094	1.244149165749291	0.21344466882411509	0.8678035921644471	1.8864116070595482	0.7698023842064546
SYNE1	-0.22327712695445037	0.7998931466244704	-1.182865965453832	0.2368622720635245	0.5525348077055626	1.1579886680329317	0.7698023842064546
CDKN2A	0.06279580651495806	1.0648093898909645	0.33784294945291604	0.7354815418673599	0.7397018065553973	1.5328055531997067	0.9063952019620283
FAT1	0.047608881273106765	1.048760385270847	0.2583171931415024	0.7961621182330427	0.7307965028868962	1.5050678832869075	0.9063952019620283
LRP1B	-0.10780028243570854	0.8978068863307099	-0.5290953535596316	0.5967393045334937	0.6022201414884963	1.338475998412354	0.9063952019620283
MUC16	0.0504248606119792	1.0517178349514786	0.2677730575772255	0.7888740105529486	0.7271229215542004	1.5212151502400069	0.9063952019620283
PCLO	-0.04731758377815121	0.9537844430192329	-0.2209891087230539	0.8251009133266757	0.6268928076632425	1.451132877303943	0.9063952019620283
PIK3CA	-0.04965393967559035	0.9515586642290625	-0.266759784392943	0.7896541198888497	0.6606861932798375	1.370490106618413	0.9063952019620283
TTN	0.029726587748068464	1.0301728335707985	0.20615159899419883	0.8366724941187954	0.7765488534200878	1.3666314261534076	0.9063952019620283
USH2A	-0.0927081844603682	0.9114594395198503	-0.40178305225947347	0.6878436958848866	0.579868458875824	1.4326668353378098	0.9063952019620283
CSMD3	-0.005771241770854729	0.9942453798537569	-0.029887744903781908	0.976156579634571	0.6809714312359402	1.4516378074281382	0.976156579634571
