NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	78.315	65.528	12.074	49.833	8.562	0.782	20000.0
2	78.258	65.395	12.074	49.776	8.561	0.783	40000.0
3	78.434	65.663	12.074	49.729	6.54	0.783	30000.0
4	78.265	65.435	12.055	49.66	2.494	0.782	30000.0
5	78.443	65.55	12.097	49.797	4.521	0.782	30000.0
6	77.963	65.287	12.044	49.702	8.562	0.783	30000.0
7	78.601	65.761	12.139	50.066	4.522	0.78	40000.0
8	78.389	65.518	12.087	49.773	2.511	0.783	30000.0
9	78.479	65.723	12.071	49.794	6.539	0.782	30000.0
10	78.355	65.775	12.099	49.957	10.587	0.781	40000.0
11	78.249	65.549	12.068	49.867	6.552	0.782	20000.0
12	78.072	65.264	12.03	49.676	0.578	0.783	60000.0
13	78.171	65.392	12.048	49.74	18.675	0.783	40000.0
14	78.35	65.564	12.072	49.752	4.52	0.782	30000.0
15	78.25	65.271	12.07	49.737	6.543	0.783	50000.0
16	78.254	65.466	12.054	49.779	2.502	0.783	70000.0
17	78.41	65.672	12.074	49.885	4.519	0.781	30000.0
18	78.381	65.445	12.063	49.745	2.509	0.783	30000.0
19	78.276	65.414	12.072	49.715	8.559	0.783	30000.0
20	78.431	65.673	12.09	49.877	6.625	0.782	20000.0
21	78.907	66.878	11.926	50.352	8.587	0.778	30000.0
22	78.334	65.555	12.086	49.849	14.642	0.782	20000.0
23	78.169	65.42	12.037	49.648	4.519	0.783	20000.0
24	78.445	65.612	12.099	49.88	8.561	0.782	20000.0
25	78.42	65.542	12.117	49.924	8.566	0.782	30000.0
26	78.129	65.287	12.057	49.72	8.572	0.782	40000.0
27	78.338	65.478	12.036	49.672	10.59	0.782	40000.0
28	78.554	65.885	12.112	49.957	12.615	0.781	40000.0
29	78.39	65.422	12.101	49.831	8.566	0.782	40000.0
30	78.327	65.555	12.046	49.692	4.527	0.783	40000.0
31	78.252	65.425	12.047	49.681	6.563	0.783	20000.0
32	78.252	65.486	12.065	49.681	6.559	0.783	30000.0
33	78.453	65.606	12.054	49.672	10.588	0.783	30000.0
34	78.35	65.427	12.086	49.737	4.524	0.783	50000.0
35	78.291	65.567	12.066	49.763	10.584	0.783	50000.0
36	78.408	65.689	12.074	49.809	4.526	0.782	40000.0
