NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	75.773	63.282	11.684	49.071	22.763	0.793	70000.0
2	76.976	63.835	12.068	50.164	8.672	0.788	100000.0
3	75.394	63.031	11.578	48.648	12.643	0.793	80000.0
4	75.62	63.091	11.638	48.852	14.77	0.794	60000.0
5	75.699	63.081	11.681	48.86	16.703	0.794	50000.0
6	75.132	63.164	11.626	48.949	24.853	0.791	50000.0
7	75.927	63.29	11.697	49.266	24.839	0.788	80000.0
8	75.376	63.265	11.659	49.088	16.698	0.791	60000.0
9	75.782	63.334	11.651	49.043	16.755	0.79	40000.0
10	76.252	63.59	11.757	49.412	14.7	0.791	70000.0
11	75.264	63.092	11.607	49.275	18.809	0.791	60000.0
12	75.796	63.269	11.628	49.048	12.76	0.795	60000.0
13	75.422	63.074	11.708	49.219	12.717	0.79	60000.0
14	75.704	63.468	11.657	49.141	24.881	0.791	40000.0
15	75.759	63.344	11.697	49.212	10.643	0.792	40000.0
16	76.519	63.645	11.928	49.611	16.795	0.79	90000.0
17	75.333	63.316	11.543	49.015	12.727	0.792	100000.0
18	75.744	63.415	11.685	49.403	8.726	0.792	90000.0
19	75.608	63.169	11.68	48.955	8.779	0.79	70000.0
20	75.783	63.438	11.726	49.183	22.789	0.79	60000.0
21	75.546	63.272	11.635	49.118	10.655	0.79	40000.0
22	76.474	63.639	11.95	49.653	45.004	0.788	30000.0
23	75.585	63.29	11.598	49.114	10.678	0.794	90000.0
24	76.493	63.731	11.964	49.704	12.728	0.786	110000.0
25	75.415	63.213	11.609	48.971	12.719	0.792	50000.0
26	75.131	62.991	11.598	48.987	18.806	0.791	100000.0
27	75.174	62.884	11.554	48.705	28.851	0.792	40000.0
28	75.656	63.317	11.638	48.98	24.812	0.791	80000.0
29	75.763	63.47	11.685	49.333	16.751	0.788	70000.0
30	75.384	63.136	11.53	48.829	16.69	0.795	50000.0
31	75.518	63.163	11.628	49.089	20.888	0.791	120000.0
32	75.245	63.15	11.567	48.787	12.687	0.794	100000.0
33	75.749	63.472	11.633	49.071	8.693	0.79	50000.0
34	75.611	63.224	11.708	49.18	18.744	0.79	100000.0
35	75.502	63.062	11.64	48.942	6.594	0.792	70000.0
36	75.788	63.307	11.756	49.199	24.835	0.79	60000.0
37	75.769	63.284	11.712	49.151	18.766	0.789	50000.0
38	75.399	63.053	11.621	49.01	12.781	0.791	40000.0
39	75.453	63.242	11.654	49.146	16.738	0.792	70000.0
40	75.467	63.327	11.631	49.195	20.762	0.789	70000.0
41	75.324	63.024	11.653	48.959	18.859	0.792	50000.0
42	75.622	63.222	11.654	49.226	14.762	0.79	60000.0
43	75.692	63.445	11.68	49.211	16.714	0.791	80000.0
44	75.321	63.31	11.562	49.096	12.69	0.79	60000.0
45	75.88	63.406	11.693	49.288	12.69	0.789	60000.0
46	75.808	63.466	11.705	49.254	18.788	0.788	40000.0
47	75.728	63.257	11.638	49.244	6.766	0.79	50000.0
48	75.888	63.094	11.708	49.005	14.718	0.794	90000.0
49	75.928	63.286	11.679	49.044	22.808	0.79	50000.0
50	75.258	62.894	11.602	48.908	26.84	0.792	50000.0
51	75.373	63.13	11.649	49.122	12.654	0.793	50000.0
52	75.843	63.326	11.662	49.028	22.738	0.792	70000.0
53	75.813	63.398	11.672	49.16	18.768	0.791	50000.0
54	75.781	63.392	11.704	49.315	18.764	0.793	50000.0
55	75.684	63.208	11.627	49.124	26.798	0.792	60000.0
56	75.872	63.461	11.624	49.009	18.713	0.791	60000.0
57	75.352	63.021	11.585	48.853	28.845	0.791	30000.0
58	75.524	63.259	11.599	49.013	34.943	0.792	40000.0
59	75.548	63.254	11.625	49.121	24.813	0.79	110000.0
60	75.503	63.371	11.683	49.289	14.785	0.792	110000.0
61	75.45	63.126	11.648	49.071	18.728	0.791	60000.0
62	75.287	63.007	11.611	48.871	16.804	0.791	50000.0
63	75.694	63.315	11.697	49.26	12.713	0.789	50000.0
64	75.449	63.158	11.631	49.117	6.663	0.791	50000.0
65	75.183	62.979	11.593	48.828	6.606	0.793	60000.0
66	75.831	63.238	11.752	49.228	10.764	0.791	40000.0
67	75.818	63.232	11.709	49.23	20.863	0.791	50000.0
68	75.418	62.922	11.638	48.847	28.853	0.791	70000.0
69	75.785	63.449	11.687	49.221	18.779	0.79	80000.0
70	75.873	63.472	11.675	49.118	12.677	0.789	40000.0
71	75.472	63.144	11.598	48.941	14.696	0.792	70000.0
72	75.724	63.074	11.686	49.135	18.788	0.791	60000.0
73	75.551	62.94	11.639	48.843	28.959	0.793	70000.0
74	75.46	63.015	11.635	48.88	10.642	0.791	70000.0
75	75.508	63.003	11.658	49.209	20.781	0.789	60000.0
76	75.604	63.07	11.662	49.002	22.754	0.79	90000.0
77	75.506	63.103	11.639	48.996	12.677	0.792	30000.0
78	75.665	63.302	11.67	49.09	20.783	0.791	70000.0
79	75.848	63.343	11.709	49.228	20.862	0.792	60000.0
80	75.571	63.203	11.659	49.131	18.739	0.793	50000.0
81	75.522	62.956	11.625	48.902	14.708	0.794	60000.0
82	76.547	63.688	11.96	49.678	16.756	0.786	50000.0
83	75.417	62.996	11.651	49.079	18.795	0.79	60000.0
84	75.795	63.266	11.644	48.987	20.746	0.792	100000.0
85	75.456	63.11	11.668	49.229	22.787	0.792	70000.0
86	75.346	62.845	11.608	48.731	24.82	0.791	60000.0
87	75.554	63.127	11.675	49.219	14.865	0.79	70000.0
88	75.565	63.146	11.624	48.913	18.765	0.792	40000.0
89	75.517	63.171	11.607	48.836	26.808	0.793	40000.0
90	75.518	63.272	11.619	49.079	10.766	0.79	60000.0
91	75.066	62.813	11.609	49.241	6.621	0.792	50000.0
92	75.944	63.297	11.781	49.438	34.917	0.789	50000.0
93	75.258	63.1	11.592	48.756	10.686	0.794	60000.0
94	75.136	63.118	11.584	48.973	10.675	0.793	40000.0
95	75.979	63.737	11.703	49.34	8.782	0.789	60000.0
96	75.022	62.89	11.534	48.726	6.66	0.791	120000.0
97	75.54	63.319	11.637	49.079	2.568	0.791	40000.0
98	75.973	63.484	11.678	49.117	8.688	0.79	60000.0
99	75.377	63.165	11.612	49.088	20.872	0.792	40000.0
100	75.836	63.275	11.789	49.289	16.817	0.789	60000.0
