NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	88.711	72.703	13.871	55.268	0.529	0.733	20000.0
2	88.662	72.653	13.821	55.07	0.527	0.737	30000.0
3	88.885	72.744	13.879	55.184	0.524	0.735	30000.0
4	88.818	72.703	13.857	55.116	0.528	0.736	20000.0
5	88.756	72.607	13.886	55.145	0.527	0.735	20000.0
6	88.659	72.635	13.888	55.256	0.529	0.735	20000.0
7	88.898	72.835	13.914	55.404	0.528	0.732	20000.0
8	88.753	72.559	13.878	55.208	0.526	0.735	20000.0
9	88.859	72.746	13.867	55.118	0.527	0.737	20000.0
10	88.882	72.77	13.914	55.364	0.527	0.733	20000.0
11	88.767	72.691	13.877	55.298	0.527	0.734	20000.0
12	88.805	72.641	13.856	55.136	0.528	0.735	20000.0
13	88.836	72.695	13.874	55.259	0.528	0.733	30000.0
14	88.928	72.714	13.913	55.238	0.526	0.735	30000.0
15	88.851	72.716	13.914	55.335	0.526	0.732	40000.0
16	88.603	72.537	13.836	55.176	0.526	0.735	30000.0
17	88.787	72.838	13.891	55.433	0.53	0.732	20000.0
18	88.738	72.664	13.863	55.207	0.53	0.735	20000.0
19	88.674	72.677	13.862	55.19	0.528	0.735	40000.0
20	88.921	72.73	13.898	55.134	0.529	0.735	30000.0
21	88.832	72.75	13.843	55.094	0.526	0.736	20000.0
22	88.759	72.686	13.87	55.202	0.53	0.735	20000.0
23	88.667	72.678	13.866	55.291	0.528	0.733	30000.0
24	88.858	72.574	13.858	55.108	0.523	0.737	20000.0
25	88.775	72.723	13.861	55.069	0.527	0.736	30000.0
26	88.582	72.598	13.844	55.197	0.529	0.734	20000.0
27	88.834	72.761	13.839	55.11	0.526	0.735	20000.0
28	88.842	72.831	13.862	55.262	0.529	0.734	30000.0
29	88.974	72.835	13.928	55.319	0.528	0.733	30000.0
30	88.7	72.465	13.828	54.938	0.524	0.738	20000.0
31	88.901	72.695	13.886	55.2	0.529	0.734	30000.0
32	88.666	72.706	13.828	55.112	0.526	0.736	30000.0
33	88.949	72.801	13.859	55.199	0.528	0.733	20000.0
34	88.662	72.65	13.84	55.175	0.527	0.736	20000.0
35	88.866	72.662	13.883	55.174	0.528	0.736	20000.0
36	88.881	72.663	13.903	55.163	0.525	0.735	30000.0
37	88.608	72.586	13.8	55.005	0.528	0.738	20000.0
38	88.899	72.681	13.879	55.351	0.527	0.732	20000.0
39	88.877	72.71	13.894	55.264	0.527	0.734	30000.0
40	88.753	72.743	13.816	55.125	0.529	0.736	20000.0
41	88.845	72.612	13.88	55.232	0.526	0.735	20000.0
42	88.763	72.608	13.844	55.109	0.524	0.737	20000.0
