NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	78.013	65.183	12.06	49.768	14.635	0.783	40000.0
2	78.05	64.981	12.083	49.778	14.628	0.784	60000.0
3	77.196	64.976	11.775	49.168	8.572	0.788	50000.0
4	77.993	65.146	12.038	49.699	6.543	0.782	40000.0
5	78.026	64.992	12.064	49.657	10.597	0.784	40000.0
6	76.723	64.614	11.692	49.084	10.592	0.788	30000.0
7	77.134	64.967	11.705	49.236	8.599	0.786	40000.0
8	77.752	65.006	12.036	49.706	12.622	0.783	40000.0
9	77.086	64.914	11.698	49.072	8.569	0.788	20000.0
10	76.994	64.923	11.746	49.254	6.561	0.787	20000.0
11	76.934	64.83	11.728	49.367	6.555	0.786	40000.0
12	77.942	65.044	12.035	49.662	10.598	0.784	50000.0
13	77.594	64.931	12.02	49.628	20.698	0.784	50000.0
14	78.099	65.218	12.083	49.737	4.523	0.783	30000.0
15	77.276	64.845	11.779	49.303	8.565	0.787	40000.0
16	77.966	65.108	12.042	49.754	8.57	0.784	70000.0
17	77.908	65.154	11.992	49.692	20.725	0.784	40000.0
18	78.036	64.984	12.056	49.706	6.634	0.784	30000.0
19	77.928	65.041	12.032	49.625	16.645	0.783	50000.0
20	77.867	65.27	12.04	49.784	8.674	0.783	30000.0
21	78.313	65.417	12.051	49.656	2.497	0.783	50000.0
22	77.805	65.109	12.055	49.841	30.82	0.782	40000.0
23	77.876	64.958	12.037	49.661	0.48	0.784	40000.0
24	78.129	65.126	12.09	49.889	8.595	0.781	20000.0
25	78.127	65.195	12.128	49.894	8.57	0.782	30000.0
26	76.647	64.566	11.673	49.107	8.657	0.787	30000.0
27	77.921	65.073	12.013	49.571	10.609	0.783	40000.0
28	78.001	65.342	12.041	49.769	10.592	0.784	40000.0
29	77.981	65.043	12.075	49.791	8.605	0.783	30000.0
30	77.953	65.146	12.028	49.764	4.552	0.782	40000.0
31	76.871	64.691	11.645	48.909	6.573	0.788	60000.0
32	77.837	65.16	11.995	49.588	6.544	0.785	30000.0
33	78.065	65.18	12.028	49.719	10.594	0.784	40000.0
34	77.704	65.071	12.019	49.635	6.541	0.784	50000.0
35	77.924	65.199	12.035	49.694	12.611	0.784	50000.0
36	77.103	64.858	11.72	49.182	4.532	0.787	30000.0
37	77.876	65.214	12.002	49.697	12.605	0.784	60000.0
38	76.842	64.575	11.704	49.209	4.521	0.786	30000.0
39	78.004	65.263	12.065	49.826	18.686	0.783	50000.0
40	77.889	65.034	12.044	49.706	10.598	0.783	50000.0
41	77.075	64.876	11.722	49.237	8.592	0.788	40000.0
42	77.019	64.829	11.723	49.282	4.532	0.786	40000.0
43	78.018	65.293	12.042	49.764	16.652	0.783	40000.0
44	78.217	65.414	12.066	49.911	6.544	0.782	50000.0
45	77.88	65.104	12.035	49.752	10.592	0.783	30000.0
46	77.09	64.789	11.768	49.228	2.499	0.787	30000.0
47	78.394	65.227	12.113	49.907	4.536	0.782	30000.0
48	76.836	64.519	11.689	48.884	20.753	0.79	50000.0
49	77.977	65.234	12.01	49.683	10.587	0.784	40000.0
50	77.85	64.802	12.032	49.628	12.605	0.784	50000.0
51	77.721	64.989	12.026	49.68	8.574	0.783	70000.0
52	77.846	65.239	12.002	49.657	16.655	0.783	40000.0
53	77.978	65.236	12.026	49.791	10.631	0.783	60000.0
54	77.956	64.926	12.102	49.787	8.589	0.783	40000.0
55	77.106	64.662	11.707	49.054	2.507	0.788	40000.0
56	77.104	64.818	11.696	49.072	18.69	0.788	50000.0
57	77.809	65.023	12.001	49.52	8.569	0.784	40000.0
58	77.969	65.207	12.018	49.55	12.621	0.786	30000.0
59	77.733	65.066	12.013	49.718	14.654	0.783	40000.0
60	77.789	65.001	12.043	49.755	14.656	0.784	40000.0
61	77.06	64.802	11.696	49.047	18.678	0.788	50000.0
62	77.813	64.835	12.051	49.653	4.541	0.784	50000.0
63	77.094	64.673	11.787	49.239	4.529	0.787	70000.0
64	78.044	65.17	12.076	49.867	4.539	0.782	80000.0
65	77.444	64.92	11.951	49.527	14.641	0.784	30000.0
66	78.107	65.017	12.054	49.67	12.609	0.784	60000.0
67	78.064	65.01	12.099	50.05	6.545	0.783	30000.0
68	77.114	64.734	11.755	49.168	12.619	0.787	20000.0
69	77.938	65.06	12.055	49.768	4.523	0.783	30000.0
70	77.07	64.857	11.717	49.152	6.627	0.786	20000.0
71	77.877	65.042	12.027	49.647	12.616	0.783	40000.0
72	76.844	64.425	11.724	49.073	4.543	0.788	20000.0
73	78.131	65.007	12.066	49.679	10.59	0.783	80000.0
74	76.952	64.797	11.73	49.213	12.626	0.785	30000.0
75	76.988	64.453	11.715	49.127	34.88	0.787	20000.0
76	77.919	65.05	12.038	49.659	8.596	0.784	60000.0
77	77.178	64.927	11.725	49.259	6.543	0.787	40000.0
78	77.877	65.104	12.043	49.717	12.61	0.783	30000.0
79	78.046	64.982	12.086	49.763	14.634	0.783	30000.0
80	77.724	65.025	12.031	49.541	6.539	0.786	30000.0
81	77.924	64.938	12.051	49.681	6.545	0.785	40000.0
82	77.96	65.281	12.035	49.804	12.621	0.783	30000.0
83	77.07	64.874	11.713	49.187	6.565	0.787	30000.0
84	78.051	65.212	12.042	49.746	10.592	0.783	30000.0
85	77.561	64.813	11.964	49.56	4.525	0.785	50000.0
86	76.982	64.653	11.701	48.926	6.609	0.788	60000.0
87	77.146	64.725	11.756	49.233	12.623	0.786	20000.0
88	77.966	65.017	12.038	49.597	12.655	0.785	40000.0
89	77.856	65.115	12.026	49.683	2.495	0.783	30000.0
90	77.124	64.84	11.708	49.071	14.646	0.787	20000.0
91	76.996	64.598	11.709	49.206	4.521	0.788	30000.0
92	77.736	64.921	12.011	49.674	8.577	0.784	30000.0
93	77.852	65.09	12.023	49.567	12.635	0.785	30000.0
94	77.764	65.025	12.003	49.612	2.518	0.784	50000.0
95	77.073	64.902	11.74	49.254	2.505	0.786	50000.0
96	77.812	65.105	11.997	49.59	6.538	0.784	60000.0
97	77.939	65.278	12.027	49.716	8.566	0.783	40000.0
98	77.505	65.078	11.823	49.365	2.552	0.786	20000.0
99	77.836	65.109	12.055	49.801	8.566	0.784	30000.0
100	77.886	65.048	12.01	49.63	4.519	0.785	50000.0
