NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	75.897	63.655	11.644	48.975	22.754	0.789	100000.0
2	76.497	64.044	11.738	49.336	18.69	0.788	70000.0
3	75.747	63.522	11.619	48.835	2.516	0.79	40000.0
4	76.336	64.012	11.679	49.032	20.716	0.79	40000.0
5	76.872	64.049	12.0	49.598	6.588	0.786	40000.0
6	76.161	63.934	11.708	49.21	18.733	0.789	60000.0
7	76.369	64.071	11.71	49.219	18.804	0.787	70000.0
8	76.745	64.073	11.963	49.664	24.803	0.785	30000.0
9	76.206	64.037	11.671	49.132	22.752	0.789	70000.0
10	76.128	63.737	11.665	49.123	10.615	0.792	60000.0
11	76.208	63.928	11.716	49.305	14.805	0.787	70000.0
12	76.067	63.795	11.599	48.875	22.75	0.791	90000.0
13	75.965	63.535	11.656	48.922	14.641	0.792	50000.0
14	76.043	63.771	11.626	49.042	8.588	0.791	70000.0
15	76.467	63.885	11.716	49.256	20.719	0.79	60000.0
16	77.286	64.555	11.998	49.88	16.698	0.787	60000.0
17	75.803	63.748	11.613	49.057	10.706	0.789	50000.0
18	76.054	63.867	11.674	49.283	24.898	0.788	60000.0
19	76.038	63.599	11.675	48.979	16.738	0.788	50000.0
20	76.127	64.038	11.718	49.247	10.664	0.789	80000.0
21	75.986	63.95	11.6	49.041	20.727	0.789	50000.0
22	76.206	63.786	11.636	49.158	20.74	0.789	40000.0
23	76.219	63.816	11.662	49.142	16.679	0.79	50000.0
24	77.147	64.37	12.042	49.899	10.614	0.783	40000.0
25	76.122	63.741	11.693	49.199	28.942	0.789	40000.0
26	75.833	63.57	11.609	48.964	16.716	0.792	80000.0
27	75.763	63.663	11.549	48.749	14.703	0.79	30000.0
28	75.825	63.631	11.637	48.915	14.761	0.79	60000.0
29	76.488	64.018	11.732	49.206	20.75	0.787	50000.0
30	76.133	63.78	11.606	49.006	12.645	0.789	40000.0
31	75.874	63.72	11.577	48.837	20.729	0.79	80000.0
32	75.681	63.573	11.613	48.765	8.605	0.792	40000.0
33	75.967	63.663	11.651	49.013	24.755	0.788	90000.0
34	76.143	63.903	11.689	49.061	26.822	0.79	80000.0
35	76.941	64.126	12.023	49.758	20.739	0.784	40000.0
36	76.758	64.208	11.968	49.596	18.715	0.785	70000.0
37	75.883	63.828	11.613	49.14	12.627	0.788	60000.0
38	75.852	63.549	11.666	49.089	40.967	0.789	70000.0
39	76.795	64.138	11.98	49.756	28.828	0.786	50000.0
40	76.549	63.983	11.744	49.324	14.771	0.788	50000.0
41	76.083	63.928	11.672	49.213	6.727	0.789	70000.0
42	76.886	64.033	12.066	49.871	12.713	0.783	70000.0
43	77.105	64.185	11.98	49.729	18.677	0.785	50000.0
44	75.953	63.963	11.594	49.039	22.756	0.789	50000.0
45	75.98	63.66	11.621	48.922	12.665	0.79	40000.0
46	76.77	64.106	11.956	49.664	20.735	0.785	60000.0
47	76.203	63.661	11.676	49.037	16.741	0.789	70000.0
48	77.012	64.057	11.984	49.523	22.787	0.788	40000.0
49	76.283	63.801	11.667	48.986	8.601	0.79	80000.0
50	75.821	63.349	11.633	48.906	16.694	0.79	40000.0
51	75.828	63.523	11.642	49.031	10.704	0.79	90000.0
52	76.666	64.262	11.867	49.299	18.688	0.789	70000.0
53	76.35	64.074	11.672	49.244	12.653	0.788	50000.0
54	76.165	63.758	11.727	49.397	12.703	0.789	40000.0
55	75.942	63.757	11.584	48.908	16.772	0.792	30000.0
56	76.076	63.809	11.612	48.807	26.782	0.791	40000.0
57	76.613	63.76	11.892	49.238	20.768	0.789	30000.0
58	76.238	64.105	11.683	49.432	16.85	0.787	80000.0
59	75.819	63.747	11.65	49.123	28.828	0.787	40000.0
60	75.958	63.574	11.683	49.037	18.728	0.791	50000.0
61	76.389	63.98	11.729	49.198	12.624	0.79	30000.0
62	75.955	63.669	11.621	48.913	10.756	0.79	110000.0
63	76.448	63.858	11.775	49.308	8.6	0.788	50000.0
64	76.013	63.82	11.672	49.198	18.793	0.789	50000.0
65	75.56	63.351	11.59	48.687	8.571	0.791	60000.0
66	76.784	63.909	11.969	49.533	12.723	0.787	40000.0
67	75.934	63.459	11.65	49.142	6.608	0.792	70000.0
68	76.051	63.554	11.675	48.986	8.707	0.791	70000.0
69	76.225	63.883	11.743	49.351	20.718	0.788	60000.0
70	76.007	63.777	11.635	48.935	22.763	0.79	90000.0
71	75.902	63.643	11.631	48.956	22.887	0.789	50000.0
72	76.104	63.644	11.661	49.117	12.657	0.791	40000.0
73	76.061	63.549	11.636	48.982	20.836	0.792	70000.0
74	77.175	64.363	12.042	49.892	22.865	0.782	90000.0
75	76.219	63.668	11.658	48.992	24.778	0.788	60000.0
76	76.072	63.682	11.671	49.091	22.755	0.79	30000.0
77	76.246	63.965	11.684	49.238	4.543	0.788	40000.0
78	75.972	63.697	11.679	49.136	22.74	0.788	30000.0
79	75.927	63.648	11.692	49.124	18.765	0.788	30000.0
80	75.935	63.699	11.646	48.927	6.591	0.792	50000.0
81	75.887	63.454	11.589	48.81	8.736	0.792	40000.0
82	76.391	64.274	11.686	49.456	20.752	0.787	60000.0
83	76.194	63.813	11.692	49.203	18.706	0.788	40000.0
84	76.118	63.652	11.709	49.109	18.689	0.789	60000.0
85	75.876	63.458	11.704	49.167	6.568	0.79	40000.0
86	75.874	63.509	11.607	48.777	16.707	0.79	50000.0
87	76.117	63.585	11.689	49.142	14.673	0.789	40000.0
88	76.113	63.813	11.59	48.822	8.623	0.792	60000.0
89	75.776	63.732	11.607	48.926	10.6	0.79	40000.0
90	75.97	63.809	11.655	49.105	10.709	0.787	30000.0
91	75.878	63.582	11.665	49.318	8.595	0.79	40000.0
92	76.14	63.826	11.711	49.341	30.879	0.788	80000.0
93	76.058	63.793	11.624	49.055	6.597	0.789	80000.0
94	76.45	63.905	11.941	49.454	22.759	0.788	40000.0
95	76.019	63.763	11.687	49.156	14.679	0.788	70000.0
96	75.857	63.743	11.56	48.823	6.552	0.79	70000.0
97	75.762	63.738	11.62	48.994	10.623	0.789	50000.0
98	76.644	64.078	11.767	49.222	14.669	0.789	50000.0
99	75.454	63.403	11.584	48.897	8.686	0.792	50000.0
100	76.629	63.982	11.891	49.431	18.727	0.787	60000.0
