NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	77.7	64.792	12.033	49.698	26.776	0.785	60000.0
2	77.712	64.718	12.052	49.653	16.763	0.785	30000.0
3	77.551	64.798	12.018	49.551	18.689	0.785	30000.0
4	77.545	64.695	11.997	49.515	8.668	0.784	80000.0
5	77.024	64.377	11.791	49.224	8.592	0.787	40000.0
6	76.418	64.299	11.653	48.982	8.629	0.789	30000.0
7	76.994	64.651	11.723	49.288	16.685	0.786	70000.0
8	77.737	64.805	12.04	49.634	8.59	0.785	40000.0
9	76.818	64.66	11.686	49.138	12.648	0.787	70000.0
10	77.59	64.978	12.042	49.838	14.673	0.782	60000.0
11	76.53	64.474	11.685	49.287	12.627	0.787	30000.0
12	76.407	64.206	11.62	48.833	18.708	0.79	40000.0
13	77.271	64.594	12.001	49.578	18.694	0.785	50000.0
14	76.6	64.376	11.656	48.976	6.592	0.789	50000.0
15	77.578	64.597	12.024	49.593	18.683	0.785	40000.0
16	76.638	64.373	11.701	49.159	6.615	0.788	60000.0
17	77.558	64.867	11.973	49.678	12.625	0.784	50000.0
18	76.519	64.343	11.691	49.174	22.735	0.788	50000.0
19	76.61	64.275	11.676	49.01	16.669	0.787	40000.0
20	76.829	64.693	11.746	49.205	4.569	0.786	60000.0
21	77.837	64.927	12.023	49.606	8.599	0.785	60000.0
22	76.538	64.452	11.654	49.222	14.636	0.787	30000.0
23	77.422	64.54	11.995	49.562	0.489	0.785	40000.0
24	77.596	64.759	12.055	49.722	14.633	0.783	40000.0
25	77.569	64.67	12.091	49.814	10.607	0.783	60000.0
26	76.215	64.23	11.632	49.002	12.619	0.788	50000.0
27	76.308	64.196	11.59	48.815	18.68	0.789	60000.0
28	76.701	64.7	11.7	49.198	12.643	0.788	50000.0
29	77.468	64.814	11.992	49.688	16.676	0.784	50000.0
30	76.693	64.463	11.605	48.94	12.623	0.788	40000.0
31	77.459	64.633	12.0	49.643	18.69	0.784	60000.0
32	76.336	64.206	11.663	48.873	12.65	0.79	50000.0
33	76.708	64.554	11.636	49.088	8.67	0.787	50000.0
34	76.611	64.314	11.71	49.003	6.562	0.79	50000.0
35	77.61	64.868	12.036	49.753	12.609	0.784	50000.0
36	76.866	64.608	11.742	49.242	14.647	0.786	30000.0
37	76.707	64.52	11.663	49.126	6.566	0.789	90000.0
38	76.351	64.16	11.665	49.042	4.532	0.788	70000.0
39	76.344	64.291	11.67	49.08	6.66	0.788	60000.0
